areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2020-01-31,0,2,0
E92000001,England,nation,2020-02-01,0,0,0
E92000001,England,nation,2020-02-02,0,0,0
E92000001,England,nation,2020-02-03,0,0,0
E92000001,England,nation,2020-02-04,0,0,0
E92000001,England,nation,2020-02-05,0,0,0
E92000001,England,nation,2020-02-06,0,1,0
E92000001,England,nation,2020-02-07,0,0,0
E92000001,England,nation,2020-02-08,0,0,0
E92000001,England,nation,2020-02-09,0,1,0
E92000001,England,nation,2020-02-10,0,4,0
E92000001,England,nation,2020-02-11,0,0,0
E92000001,England,nation,2020-02-12,0,0,0
E92000001,England,nation,2020-02-13,0,1,0
E92000001,England,nation,2020-02-14,0,0,0
E92000001,England,nation,2020-02-15,0,0,0
E92000001,England,nation,2020-02-16,0,0,0
E92000001,England,nation,2020-02-17,0,0,0
E92000001,England,nation,2020-02-18,0,0,0
E92000001,England,nation,2020-02-19,0,0,0
E92000001,England,nation,2020-02-20,0,0,0
E92000001,England,nation,2020-02-21,0,0,0
E92000001,England,nation,2020-02-22,0,0,0
E92000001,England,nation,2020-02-23,0,0,0
E92000001,England,nation,2020-02-24,0,4,0
E92000001,England,nation,2020-02-25,0,0,0
E92000001,England,nation,2020-02-26,0,0,0
E92000001,England,nation,2020-02-27,0,0,0
E92000001,England,nation,2020-02-28,0,5,0
E92000001,England,nation,2020-02-29,0,3,0
E92000001,England,nation,2020-03-01,0,12,0
E92000001,England,nation,2020-03-02,0,4,0
E92000001,England,nation,2020-03-03,0,11,0
E92000001,England,nation,2020-03-04,0,32,0
E92000001,England,nation,2020-03-05,0,25,0
E92000001,England,nation,2020-03-06,0,39,1
E92000001,England,nation,2020-03-07,0,39,1
E92000001,England,nation,2020-03-08,0,58,0
E92000001,England,nation,2020-03-09,0,40,1
E92000001,England,nation,2020-03-10,0,46,4
E92000001,England,nation,2020-03-11,0,63,0
E92000001,England,nation,2020-03-12,0,99,2
E92000001,England,nation,2020-03-13,0,159,1
E92000001,England,nation,2020-03-14,0,201,18
E92000001,England,nation,2020-03-15,0,253,14
E92000001,England,nation,2020-03-16,0,97,22
E92000001,England,nation,2020-03-17,0,361,15
E92000001,England,nation,2020-03-18,0,625,33
E92000001,England,nation,2020-03-19,586,574,42
E92000001,England,nation,2020-03-20,691,628,32
E92000001,England,nation,2020-03-21,777,873,54
E92000001,England,nation,2020-03-22,859,535,24
E92000001,England,nation,2020-03-23,1128,793,67
E92000001,England,nation,2020-03-24,1544,1258,143
E92000001,England,nation,2020-03-25,1755,1130,178
E92000001,England,nation,2020-03-26,1639,1809,169
E92000001,England,nation,2020-03-27,1931,2506,271
E92000001,England,nation,2020-03-28,1873,2139,279
E92000001,England,nation,2020-03-29,2186,2060,195
E92000001,England,nation,2020-03-30,2817,2107,353
E92000001,England,nation,2020-03-31,2447,2414,368
E92000001,England,nation,2020-04-01,3099,3630,613
E92000001,England,nation,2020-04-02,2932,3583,603
E92000001,England,nation,2020-04-03,2564,3576,654
E92000001,England,nation,2020-04-04,2593,2910,689
E92000001,England,nation,2020-04-05,2592,5107,578
E92000001,England,nation,2020-04-06,2679,3176,531
E92000001,England,nation,2020-04-07,2744,2978,1009
E92000001,England,nation,2020-04-08,2619,4788,922
E92000001,England,nation,2020-04-09,2340,3798,990
